ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
EMR       ,Industrials           ,United States and Canada   ,82.49118683901293 ,44.74832214765101   ,50.0            ,77.40499885046145  ,100.0       ,68.4                         ,B
ORLY      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
WTE       ,Industrials           ,United States and Canada   ,43.26120293065259 ,3.3063063063063067  ,50.0            ,79.73038099199198  ,4.0         ,34.2                         ,F
RCL       ,Consumer Discretionary,United States and Canada   ,91.6960685483871  ,61.76024279210925   ,50.0            ,10.277957336780863 ,8.0         ,51.1                         ,C
DELL      ,Information Technology,United States and Canada   ,88.78740157480316 ,62.485955056179776  ,50.0            ,100.0              ,12.0        ,64.6                         ,C
CMI       ,Industrials           ,United States and Canada   ,83.08860059815028 ,44.31906614785993   ,50.0            ,77.34052588138192  ,84.0        ,66.1                         ,B
GM        ,Consumer Discretionary,United States and Canada   ,97.38839508638769 ,100.0               ,50.0            ,33.451745692940996 ,12.0        ,66.2                         ,B
REGN      ,Health Care           ,United States and Canada   ,97.23995307124818 ,100.0               ,50.0            ,96.66276027471929  ,0.0         ,73.8                         ,B
TDG       ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
TBLA      ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,94.26788730341316  ,0.0         ,61.6                         ,C
ECL       ,Materials             ,United States and Canada   ,82.78131327740816 ,43.49153016939661   ,50.0            ,68.58758476311837  ,100.0       ,66.9                         ,B
CTAS      ,Industrials           ,United States and Canada   ,82.71635831085638 ,54.36883734398099   ,50.0            ,81.11152856524808  ,20.0        ,59.4                         ,C
PVLA      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,93.64318798913911  ,0.0         ,61.5                         ,C
GLW       ,Information Technology,United States and Canada   ,76.03764478764478 ,23.40382678751259   ,50.0            ,75.63685636856368  ,4.0         ,46.8                         ,D
SE        ,Consumer Discretionary,Asia / Pacific             ,100.0             ,50.0                ,50.0            ,83.78416953894862  ,0.0         ,60.1                         ,C
MNST      ,Consumer Staples      ,United States and Canada   ,100.0             ,50.0                ,50.0            ,97.56847697888902  ,0.0         ,62.1                         ,C
ITW       ,Industrials           ,United States and Canada   ,70.90218109715795 ,32.311186825667235  ,50.0            ,18.82222892171641  ,100.0       ,53.6                         ,C
WMB       ,Energy                ,United States and Canada   ,51.35189669087974 ,14.284529240978847  ,50.0            ,39.175651392632524 ,40.0        ,38.3                         ,D
PHAT      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
WDC       ,Information Technology,United States and Canada   ,98.35789473684211 ,100.0               ,50.0            ,70.80625752105895  ,4.0         ,70.8                         ,B
FDX       ,Industrials           ,United States and Canada   ,85.32927624429472 ,64.41481481481482   ,50.0            ,55.57455296715823  ,24.0        ,59.4                         ,C
NUTX      ,Health Care           ,United States and Canada   ,50.0              ,50.0                ,50.0            ,39.832741031489235 ,0.0         ,41.0                         ,D
CI        ,Health Care           ,United States and Canada   ,89.6316949811957  ,93.02063789868669   ,50.0            ,74.15965537586176  ,24.0        ,70.4                         ,B
MDLZ      ,Consumer Staples      ,United States and Canada   ,66.85906040268456 ,18.550020251113814  ,50.0            ,77.0705047357618   ,56.0        ,51.3                         ,C
MLTX      ,Health Care           ,Europe                     ,100.0             ,50.0                ,50.0            ,99.79193777248432  ,0.0         ,62.5                         ,C
SNOW      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,70.2295585770162   ,0.0         ,58.0                         ,C
WBD       ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,58.969221668861024 ,0.0         ,56.3                         ,C
WST       ,Health Care           ,United States and Canada   ,94.10908385093167 ,100.0               ,50.0            ,96.20599236973244  ,100.0       ,88.0                         ,A
MRVL      ,Information Technology,United States and Canada   ,95.5404645529651  ,100.0               ,50.0            ,89.21799359499516  ,4.0         ,72.9                         ,B
EPD       ,Energy                ,United States and Canada   ,60.2972780902965  ,13.340521889152472  ,50.0            ,63.594138353745635 ,40.0        ,43.9                         ,D
ALHEX     ,Consumer Discretionary,Europe                     ,50.0              ,50.0                ,50.0            ,88.07161833700752  ,4.0         ,48.8                         ,D
HLT       ,Consumer Discretionary,United States and Canada   ,96.13333333333334 ,100.0               ,50.0            ,100.0              ,4.0         ,74.6                         ,B
TEL       ,Information Technology,Europe                     ,84.66972126765941 ,79.7758405977584    ,50.0            ,83.299293008641    ,64.0        ,73.2                         ,B
ALLDL     ,Consumer Discretionary,Europe                     ,50.0              ,0.0                 ,50.0            ,84.00273224043715  ,4.0         ,35.7                         ,D
STX       ,Information Technology,Asia / Pacific             ,84.68923698837797 ,40.1980198019802    ,50.0            ,100.0              ,12.0        ,58.0                         ,C
CNQ       ,Energy                ,United States and Canada   ,69.16339708860166 ,34.18716530594329   ,50.0            ,82.86966359067239  ,4.0         ,48.9                         ,D
