"Date"   ;"D0";"D1"    ;"Value"
"2019-10";"M1";"HUF100";"0.33408"
"2019-10";"M1";"PLN100";"25.85543"
"2019-10";"M1";"RUB1"  ;"0.01542"
"2019-10";"M1";"SEK100";"10.22738"
"2019-10";"M1";"TRY100";"17.27648"
"2019-10";"M1";"USD1"  ;"0.98685"
"2019-10";"M1";"CAD1"  ;"0.74906"
"2019-10";"M1";"ARS1"  ;"0.0165"
"2019-10";"M1";"BRL100";"24.74363"
"2019-10";"M1";"MXN100";"5.1531"
"2019-10";"M1";"ZAR1"  ;"0.06508"
"2019-10";"M1";"JPY100";"0.91118"
"2019-10";"M1";"AUD1"  ;"0.68024"
"2019-10";"M1";"CNY100";"14.00582"
"2019-10";"M1";"HKD100";"12.59267"
"2019-10";"M1";"KRW100";"0.08479"
"2019-10";"M1";"MYR100";"23.62807"
"2019-10";"M1";"NZD1"  ;"0.63124"
"2019-10";"M1";"SGD1"  ;"0.72456"
"2019-10";"M1";"THB100";"3.26847"
"2019-10";"M1";"XDR1"  ;"1.3619"
"2019-11";"M0";"EUR1"  ;"1.09778"
"2019-11";"M0";"GBP1"  ;"1.27973"
"2019-11";"M0";"DKK100";"14.6921"
"2019-11";"M0";"NOK100";"10.85294"
"2019-11";"M0";"CZK100";"4.29952"
"2019-11";"M0";"HUF100";"0.32911"
"2019-11";"M0";"PLN100";"25.61498"
"2019-11";"M0";"RUB1"  ;"0.01555"
"2019-11";"M0";"SEK100";"10.30513"
"2019-11";"M0";"TRY100";"17.2959"
"2019-11";"M0";"USD1"  ;"0.99306"
"2019-11";"M0";"CAD1"  ;"0.7502"
"2019-11";"M0";"ARS1"  ;"0.01664"
"2019-11";"M0";"BRL100";"23.93489"
"2019-11";"M0";"MXN100";"5.1454"
"2019-11";"M0";"ZAR1"  ;"0.06713"
"2019-11";"M0";"JPY100";"0.91219"
"2019-11";"M0";"AUD1"  ;"0.67832"
"2019-11";"M0";"CNY100";"14.14842"
"2019-11";"M0";"HKD100";"12.68511"
"2019-11";"M0";"KRW100";"0.08499"
"2019-11";"M0";"MYR100";"23.89206"
"2019-11";"M0";"NZD1"  ;"0.63591"
"2019-11";"M0";"SGD1"  ;"0.72933"
"2019-11";"M0";"THB100";"3.28394"
"2019-11";"M0";"XDR1"  ;"1.36574"
"2019-11";"M0";"USD3M" ;"0.986"
"2019-11";"M0";"USD6M" ;"0.9797"
"2019-11";"M1";"EUR1"  ;"1.10006"
"2019-11";"M1";"GBP1"  ;"1.28855"
"2019-11";"M1";"DKK100";"14.72455"
