ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
SY1,Symrise AG,Europe,DE,XTRA,Materials,Chemicals,75.8,98.5,61.0,30.811009704424222,16.419351562978584,3.631666509215963,97.53399999999999,1.8765058769979155,99.15474535595357
UU,United Utilities Group PLC,Europe,GB,LSE,Utilities,Water Utilities,13.48,13.0,3.8499999999999996,-1.456273651888324,5.866587935301554,-10.666238983910304,38.862,-0.24823179469029275,13.283694311725453
MOWI,Mowi ASA,Europe,NO,OB,Consumer Staples,Food Products,223.4,249.6324,50.387399999999985,10.142228247650882,4.649883932241689,2.0438365719269522,98.776,2.1811787983192428,246.05773790525205
WIZZ,Wizz Air Holdings Plc,Europe,HU,LSE,Industrials,Passenger Airlines,12.9,13.0417,22.0919,33.0410334912755,36.69323511444133,-18.772153411862742,79.164,0.9004666224775467,17.16229332037454
REC,Recordati Industria Chimica e Farmaceutica S.p.A.,Europe,IT,BIT,Health Care,Pharmaceuticals,47.6,57.5,23.0,23.636222521354203,9.941269588322347,7.788042055819637,100.0,2.3775859120769467,58.8508419201646
ONT,Oxford Nanopore Technologies plc,Europe,GB,LSE,Health Care,Life Sciences Tools and Services,1.312,2.0,1.6,62.647977978518306,25.254368731937333,23.12278664256358,100.0,2.480678833967132,2.13394147107816
DIE,D'Ieteren Group SA,Europe,BE,ENXTBR,Consumer Discretionary,Distributors,181.1,224.0,49.0,23.474807587819033,5.535272825081207,14.179447579423277,100.0,4.240948608973874,223.61287654154026
ACKB,Ackermans & Van Haaren NV,Europe,BE,ENXTBR,Industrials,Construction and Engineering,288.8,272.0,116.0,-3.4299879515706237,8.227590613898698,-16.656800509657657,33.336,-0.4168885050960625,278.89419479586405
MKS,Marks and Spencer Group plc,Europe,GB,LSE,Consumer Staples,Consumer Staples Distribution and Retail,4.069,4.355,1.2800000000000002,2.1731283134566515,6.648864015678895,-9.948749332835915,64.61,0.3268420452474482,4.157424591074551
HAG,Hensoldt AG,Europe,DE,XTRA,Industrials,Aerospace and Defense,80.9,91.65,49.0,11.48261253838264,12.347401587347761,-9.584889128873803,80.714,0.9299618593557967,90.18943354355156
SBRY,J Sainsbury plc,Europe,GB,LSE,Consumer Staples,Consumer Staples Distribution and Retail,3.572,3.5,0.8500000000000001,-5.283283119089962,4.987622462319475,-14.279707185910643,14.893999999999998,-1.059278876660001,3.3832811269861063
