ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
ELV       ,Health Care           ,United States and Canada   ,89.03351071479936 ,49.403278688524594  ,50.0            ,75.72554179332455  ,56.0        ,64.4                         ,C
KURN      ,Health Care           ,Europe                     ,50.0              ,50.0                ,50.0            ,99.22023255011558  ,0.0         ,49.9                         ,D
EMR       ,Industrials           ,United States and Canada   ,82.49118683901293 ,44.74832214765101   ,50.0            ,77.40499885046145  ,100.0       ,68.4                         ,B
ORLY      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
WTE       ,Industrials           ,United States and Canada   ,43.26120293065259 ,3.3063063063063067  ,50.0            ,79.55674239199143  ,4.0         ,34.2                         ,F
RCL       ,Consumer Discretionary,United States and Canada   ,91.6960685483871  ,61.76024279210925   ,50.0            ,32.04056505961638  ,8.0         ,54.4                         ,C
DELL      ,Information Technology,United States and Canada   ,88.78740157480316 ,62.485955056179776  ,50.0            ,100.0              ,12.0        ,64.6                         ,C
CMI       ,Industrials           ,United States and Canada   ,83.08860059815028 ,44.31906614785993   ,50.0            ,79.0171527459663   ,84.0        ,66.3                         ,B
GM        ,Consumer Discretionary,United States and Canada   ,97.38839508638769 ,100.0               ,50.0            ,34.8542440279524   ,12.0        ,66.4                         ,B
REGN      ,Health Care           ,United States and Canada   ,97.23995307124818 ,100.0               ,50.0            ,97.08689463290888  ,0.0         ,73.9                         ,B
TDG       ,Industrials           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
TBLA      ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,93.83260556323553  ,0.0         ,61.6                         ,C
ECL       ,Materials             ,United States and Canada   ,82.78131327740816 ,43.49153016939661   ,50.0            ,69.82403619748682  ,100.0       ,67.0                         ,B
CTAS      ,Industrials           ,United States and Canada   ,82.71635831085638 ,54.36883734398099   ,50.0            ,75.78140138634825  ,20.0        ,58.6                         ,C
PVLA      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,86.19441571871769  ,0.0         ,60.4                         ,C
GLW       ,Information Technology,United States and Canada   ,76.03764478764478 ,23.40382678751259   ,50.0            ,74.4967374704984   ,4.0         ,46.6                         ,D
SE        ,Consumer Discretionary,Asia / Pacific             ,100.0             ,50.0                ,50.0            ,86.27122718036662  ,0.0         ,60.4                         ,C
MNST      ,Consumer Staples      ,United States and Canada   ,100.0             ,50.0                ,50.0            ,99.74039701353276  ,0.0         ,62.5                         ,C
ITW       ,Industrials           ,United States and Canada   ,70.90218109715795 ,32.311186825667235  ,50.0            ,7.115404591253771  ,100.0       ,51.9                         ,C
WMB       ,Energy                ,United States and Canada   ,51.35189669087974 ,14.284529240978847  ,50.0            ,37.22072678331091  ,40.0        ,38.0                         ,D
PHAT      ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,100.0              ,0.0         ,62.5                         ,C
WDC       ,Information Technology,United States and Canada   ,98.35789473684211 ,100.0               ,50.0            ,73.76164786660128  ,4.0         ,71.3                         ,B
FDX       ,Industrials           ,United States and Canada   ,85.32927624429472 ,64.41481481481482   ,50.0            ,55.26415541340914  ,24.0        ,59.3                         ,C
NUTX      ,Health Care           ,United States and Canada   ,50.0              ,50.0                ,50.0            ,72.71115372615269  ,0.0         ,45.9                         ,D
CI        ,Health Care           ,United States and Canada   ,89.6316949811957  ,93.02063789868669   ,50.0            ,72.99312927436887  ,24.0        ,70.2                         ,B
MDLZ      ,Consumer Staples      ,United States and Canada   ,66.85906040268456 ,18.550020251113814  ,50.0            ,72.12627244652865  ,56.0        ,50.6                         ,C
MLTX      ,Health Care           ,Europe                     ,100.0             ,50.0                ,50.0            ,91.3309751937452   ,0.0         ,61.2                         ,C
SNOW      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,58.02940868507951  ,0.0         ,56.2                         ,C
WBD       ,Communication Services,United States and Canada   ,100.0             ,50.0                ,50.0            ,70.0478041370683   ,0.0         ,58.0                         ,C
WST       ,Health Care           ,United States and Canada   ,94.10908385093167 ,100.0               ,50.0            ,96.6901523840734   ,100.0       ,88.0                         ,A
MRVL      ,Information Technology,United States and Canada   ,95.5404645529651  ,100.0               ,50.0            ,88.67080232773216  ,4.0         ,72.8                         ,B
EPD       ,Energy                ,United States and Canada   ,60.2972780902965  ,13.340521889152472  ,50.0            ,62.343300110741964 ,40.0        ,43.8                         ,D
ALHEX     ,Consumer Discretionary,Europe                     ,50.0              ,50.0                ,50.0            ,82.40757647688956  ,4.0         ,48.0                         ,D
HLT       ,Consumer Discretionary,United States and Canada   ,96.13333333333334 ,100.0               ,50.0            ,100.0              ,4.0         ,74.6                         ,B
TEL       ,Information Technology,Europe                     ,84.66972126765941 ,79.7758405977584    ,50.0            ,83.299293008641    ,64.0        ,73.2                         ,B
ALLDL     ,Consumer Discretionary,Europe                     ,50.0              ,0.0                 ,50.0            ,84.89351163942545  ,4.0         ,35.8                         ,D
STX       ,Information Technology,Asia / Pacific             ,84.68923698837797 ,40.1980198019802    ,50.0            ,100.0              ,12.0        ,58.0                         ,C
CNQ       ,Energy                ,United States and Canada   ,69.16339708860166 ,34.18716530594329   ,50.0            ,84.57939425619792  ,4.0         ,49.1                         ,D
U         ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,77.52137469618067  ,0.0         ,59.1                         ,C
SLB       ,Energy                ,United States and Canada   ,81.97835099032704 ,47.05431309904153   ,50.0            ,84.18022435183121  ,20.0        ,57.9                         ,C
JCI       ,Industrials           ,Europe                     ,80.17871649065799 ,19.774590163934427  ,50.0            ,71.20580515670835  ,24.0        ,49.3                         ,D
COR       ,Health Care           ,United States and Canada   ,93.00130020688022 ,100.0               ,50.0            ,0.0                ,88.0        ,71.5                         ,B
CL        ,Consumer Staples      ,United States and Canada   ,69.49209552640431 ,37.960308710033075  ,50.0            ,0.0                ,100.0       ,51.9                         ,C
